id,name,host_id,host_acceptance_rate,host_total_listings_count,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
18584891,"◇Cape Cod Suite, with Private Bath ◇",31035862,100%,3,Dorchester,42.29402,-71.06196,Private room in home,Private room,2,1,1,1,$151.00 ,1,13,4.98,4.98,4.95,4.99,4.99,4.85,4.98
18736738,Spacious pet friendly 1BD APT w/ Devoted Entrance.,130336134,100%,2,West Roxbury,42.29486,-71.15989,Entire home,Entire home/apt,4,1,1,1,$118.00 ,91,1125,4.94,4.94,4.78,5,5,5,5
18790023,Unwind from Boston in Comfy/Spacious PrivateRm,9705586,100%,5,Roslindale,42.27801,-71.13446,Private room in rental unit,Private room,2,1,1,2,$110.00 ,2,1124,4.71,4.89,4.82,4.88,4.8,4.66,4.71
18875451,“The Sunset Room” at The Perthshire House.,16441460,99%,13,Brighton,42.35418,-71.16776,Private room in condo,Private room,2,1,1,1,$109.00 ,1,1125,4.81,4.88,4.68,4.89,4.93,4.81,4.75
18875553,“The King's Room” at The Perthshire House.,16441460,99%,13,Brighton,42.35401,-71.16776,Private room in condo,Private room,2,1,1,1,$114.00 ,1,1125,4.8,4.82,4.64,4.95,4.95,4.79,4.76
18875599,“The Pistachio Room” at The Perthshire House.,16441460,99%,13,Brighton,42.35401,-71.16776,Private room in rental unit,Private room,2,1,1,1,$102.00 ,1,1125,4.78,4.86,4.56,4.95,4.97,4.87,4.8
18876533,“The In & Out Room” at The Perthshire House.,16441460,99%,13,Brighton,42.35457,-71.16684,Private room in condo,Private room,2,1,1,1,$102.00 ,1,1125,4.94,4.92,4.9,4.94,4.98,4.86,4.83
18942870,Andrew Sq - Cozy Quiet Room,18479599,,27,Dorchester,42.32458,-71.05999,Private room in rental unit,Private room,1,1,1,1,$65.00 ,91,1125,2,4,2,5,5,3,1
18945347,B204 New AC & Heating Boston private room,105851798,98%,30,Dorchester,42.30742,-71.06513,Private room in rental unit,Private room,1,2,1,1,$50.00 ,29,180,4.73,4.79,4.75,4.94,4.88,4.19,4.58
19100282,"Large, sunny hilltop home, nature lovers' paradise",133415983,100%,1,Jamaica Plain,42.30308,-71.13398,Entire home,Entire home/apt,8,3.5,4,5,$500.00 ,3,62,4.95,4.95,4.86,5,5,4.86,4.81
19102461,Private Room in very spacious JP House.( Lilac Rm),133457702,98%,21,Jamaica Plain,42.32424,-71.10748,Private room in home,Private room,2,1,1,1,$109.00 ,29,1125,4.89,4.97,4.93,4.94,4.92,4.75,4.84
19117781,"◇Cozy Townhouse Suite, with Private Bath ◇",31035862,100%,3,Dorchester,42.29366,-71.06422,Private room in home,Private room,2,1,1,1,$145.00 ,1,7,4.99,4.99,4.98,4.99,4.99,4.84,4.99
19140676,Private Room 3 Min Walk to Savin Hill Subway Stop,4271667,97%,1,Dorchester,42.31343,-71.05495,Private room in condo,Private room,4,1,2,3,$80.00 ,2,1125,4.83,4.87,4.55,4.91,4.95,4.93,4.81
19149341,Fun Houseboat,3029783,100%,21,Charlestown,42.37579,-71.04981,Boat,Entire home/apt,6,1,1,1,$223.00 ,2,1125,4.78,4.86,4.74,4.83,4.87,4.83,4.54
19182289,"Renovated House, Sunny & Clean room, New Window AC",18517776,0%,34,Roxbury,42.31343,-71.0935,Private room in rental unit,Private room,1,1,2,1,$39.00 ,150,1125,5,5,5,5,5,4.5,5
